# id	invocation	expect_kind	expect_value
rt-object	'{"a":1,"b":2}' ROUNDTRIP	stack	'{"a":1,"b":2}'
rt-array	'[10,20,30]' ROUNDTRIP	stack	'[10,20,30]'
rt-nested	'{"x":{"y":5}}' ROUNDTRIP	stack	'{"x":{"y":5}}'
rt-whitespace	'  {  "a" : 1 }  ' ROUNDTRIP	stack	'{"a":1}'
rt-number	'42' ROUNDTRIP	stack	'42'
rt-string	'"hi"' ROUNDTRIP	stack	'"hi"'
rt-bool	'true' ROUNDTRIP	stack	'true'
field-scalar	'{"a":1,"b":2}' JSON@PARSE 'b' FIELD-JSON	stack	'2'
field-nested-object	'{"x":{"y":5}}' JSON@PARSE 'x' FIELD-JSON	stack	'{"y":5}'
without-key	'{"a":1,"b":2}' JSON@PARSE 'a' WITHOUT	stack	'{"b":2}'
without-missing	'{"a":1}' JSON@PARSE 'z' WITHOUT	stack	'{"a":1}'
has-present	'{"a":1}' JSON@PARSE 'a' HAS-KEY	stack	'TRUE'
has-absent	'{"a":1}' JSON@PARSE 'z' HAS-KEY	stack	'FALSE'
